v8-version,4,9,385,35,0
code-creation,Stub,12,0x1af65b0ef20,232,"BinaryOpICStub(ADD:Smi*Smi->Int32)"
code-creation,Stub,12,0x1af65b0f020,232,"BinaryOpICStub(ADD:Smi*Smi->Smi)"
code-creation,Stub,12,0x1af65b0f120,212,"BinaryOpICStub(BIT_AND:Int32*Int32->Int32)"
code-creation,Stub,12,0x1af65b0f200,212,"BinaryOpICStub(BIT_AND:Int32*Int32->Smi)"
code-creation,Stub,12,0x1af65b0f2e0,212,"BinaryOpICStub(BIT_AND:Int32*Smi->Int32)"
code-creation,Stub,12,0x1af65b0f3c0,212,"BinaryOpICStub(BIT_AND:Int32*Smi->Smi)"
code-creation,Stub,2,0x1af65b0f4a0,184,"DoubleToIStub"
code-creation,Stub,12,0x1af65b0f560,332,"BinaryOpICStub(BIT_AND:Number*Int32->Int32)"
code-creation,Stub,12,0x1af65b0f6c0,332,"BinaryOpICStub(BIT_AND:Number*Smi->Smi)"
code-creation,Stub,12,0x1af65b0f820,212,"BinaryOpICStub(BIT_AND:Smi*Int32->Int32)"
code-creation,Stub,12,0x1af65b0f900,212,"BinaryOpICStub(BIT_AND:Smi*Int32->Smi)"
code-creation,Stub,12,0x1af65b0f9e0,332,"BinaryOpICStub(BIT_AND:Smi*Number->Smi)"
code-creation,Stub,12,0x1af65b0fb40,212,"BinaryOpICStub(BIT_AND:Smi*Smi->Smi)"
code-creation,Stub,12,0x1af65b0fc20,212,"BinaryOpICStub(BIT_OR:Int32*Int32->Int32)"
code-creation,Stub,12,0x1af65b0fd00,212,"BinaryOpICStub(BIT_OR:Int32*Int32->Smi)"
code-creation,Stub,12,0x1af65b0fde0,212,"BinaryOpICStub(BIT_OR:Int32*Smi->Int32)"
code-creation,Stub,12,0x1af65b0fec0,212,"BinaryOpICStub(BIT_OR:Int32*Smi->Smi)"
code-creation,Stub,12,0x1af65b0ffa0,332,"BinaryOpICStub(BIT_OR:Number*Smi->Int32)"
code-creation,Stub,12,0x1af65b10100,332,"BinaryOpICStub(BIT_OR:Number*Smi->Smi)"
code-creation,Stub,12,0x1af65b10260,212,"BinaryOpICStub(BIT_OR:Smi*Int32->Int32)"
code-creation,Stub,12,0x1af65b10340,212,"BinaryOpICStub(BIT_OR:Smi*Int32->Smi)"
code-creation,Stub,12,0x1af65b10420,212,"BinaryOpICStub(BIT_OR:Smi*Smi->Smi)"
code-creation,Stub,12,0x1af65b10500,212,"BinaryOpICStub(BIT_XOR:Int32*Int32->Int32)"
code-creation,Stub,12,0x1af65b105e0,212,"BinaryOpICStub(BIT_XOR:Int32*Int32->Smi)"
code-creation,Stub,12,0x1af65b106c0,332,"BinaryOpICStub(BIT_XOR:Int32*Number->Smi)"
code-creation,Stub,12,0x1af65b10820,212,"BinaryOpICStub(BIT_XOR:Int32*Smi->Int32)"
code-creation,Stub,12,0x1af65b10900,332,"BinaryOpICStub(BIT_XOR:Number*Int32->Int32)"
code-creation,Stub,12,0x1af65b10a60,332,"BinaryOpICStub(BIT_XOR:Number*Smi->Int32)"
code-creation,Stub,12,0x1af65b10bc0,332,"BinaryOpICStub(BIT_XOR:Number*Smi->Smi)"
code-creation,Stub,12,0x1af65b10d20,212,"BinaryOpICStub(BIT_XOR:Smi*Int32->Int32)"
code-creation,Stub,12,0x1af65b10e00,212,"BinaryOpICStub(BIT_XOR:Smi*Int32->Smi)"
code-creation,Stub,12,0x1af65b10ee0,212,"BinaryOpICStub(BIT_XOR:Smi*Smi->Smi)"
code-creation,Stub,12,0x1af65b10fc0,292,"BinaryOpICStub(DIV:Int32*Int32->Int32)"
code-creation,Stub,12,0x1af65b11100,418,"BinaryOpICStub(DIV:Int32*Int32->Number)"
code-creation,Stub,12,0x1af65b112c0,442,"BinaryOpICStub(DIV:Int32*Number->Number)"
code-creation,Stub,12,0x1af65b11480,292,"BinaryOpICStub(DIV:Int32*Smi->Int32)"
code-creation,Stub,12,0x1af65b115c0,418,"BinaryOpICStub(DIV:Int32*Smi->Number)"
code-creation,Stub,12,0x1af65b11780,442,"BinaryOpICStub(DIV:Number*Int32->Number)"
code-creation,Stub,12,0x1af65b11940,466,"BinaryOpICStub(DIV:Number*Number->Number)"
code-creation,Stub,12,0x1af65b11b20,442,"BinaryOpICStub(DIV:Number*Smi->Number)"
code-creation,Stub,12,0x1af65b11ce0,292,"BinaryOpICStub(DIV:Smi*Int32->Int32)"
code-creation,Stub,12,0x1af65b11e20,418,"BinaryOpICStub(DIV:Smi*Int32->Number)"
code-creation,Stub,12,0x1af65b11fe0,442,"BinaryOpICStub(DIV:Smi*Number->Number)"
code-creation,Stub,12,0x1af65b121a0,418,"BinaryOpICStub(DIV:Smi*Smi->Number)"
code-creation,Stub,12,0x1af65b12360,292,"BinaryOpICStub(DIV:Smi*Smi->Smi)"
code-creation,Stub,12,0x1af65b124a0,455,"BinaryOpICStub(MOD:Number*Smi->Number)"
code-creation,Stub,12,0x1af65b12680,284,"BinaryOpICStub(MOD:Smi*Smi->Smi)"
code-creation,Stub,12,0x1af65b127a0,256,"BinaryOpICStub(MUL:Int32*Int32->Int32)"
code-creation,Stub,12,0x1af65b128a0,414,"BinaryOpICStub(MUL:Int32*Int32->Number)"
code-creation,Stub,12,0x1af65b12a40,438,"BinaryOpICStub(MUL:Int32*Number->Number)"
code-creation,Stub,12,0x1af65b12c00,256,"BinaryOpICStub(MUL:Int32*Smi->Int32)"
code-creation,Stub,12,0x1af65b12d00,414,"BinaryOpICStub(MUL:Int32*Smi->Number)"
code-creation,Stub,12,0x1af65b12ea0,438,"BinaryOpICStub(MUL:Number*Int32->Number)"
code-creation,Stub,12,0x1af65b13060,462,"BinaryOpICStub(MUL:Number*Number->Number)"
